Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,5420129,5.420129,2011
as,Asia,ashkg,Hong Kong,hkg,12222.999999999998,0.012223,2011
as,Asia,asidn,Indonesia,idn,3937070,3.93707,2011
as,Asia,asind,India,ind,250188,0.250188,2011
as,Asia,asjpn,Japan,jpn,1215708.9999999998,1.215709,2011
as,Asia,askor,South Korea,kor,30887376,30.887376,2011
as,Asia,asmys,Malaysia,mys,19237734,19.237734,2011
as,Asia,assgp,Singapore,sgp,513302,0.513302,2011
as,Asia,astha,Thailand,tha,460806.99999999994,0.460807,2011
as,Asia,asvnm,Vietnam,vnm,2500,0.0025,2011
as,Asia,asxxb,Taiwan,,926862,0.926862,2011
eu,Europe,euesp,Spain,esp,51400,0.0514,2011
eu,Europe,eugrc,Greece,grc,48251.00000000001,0.048251,2011
eu,Europe,euirl,Ireland,irl,111,0.000111,2011
eu,Europe,euita,Italy,ita,125822,0.125822,2011
na,North America,nausa,United States,usa,35346,0.035346,2011
oc,Oceania,ocaus,Australia,aus,43220,0.04322,2011
