Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,4767669,4.767669,2004
as,Asia,ashkg,Hong Kong,hkg,356097,0.356097,2004
as,Asia,asidn,Indonesia,idn,40492,0.040492,2004
as,Asia,asind,India,ind,103055,0.103055,2004
as,Asia,asjpn,Japan,jpn,2078735.0000000002,2.078735,2004
as,Asia,askor,South Korea,kor,14572186.000000002,14.572186,2004
as,Asia,asmys,Malaysia,mys,15661641.000000002,15.661641,2004
as,Asia,assgp,Singapore,sgp,328234.00000000006,0.328234,2004
as,Asia,astha,Thailand,tha,1215438,1.215438,2004
as,Asia,asvnm,Vietnam,vnm,15060,0.01506,2004
as,Asia,asxxb,Taiwan,,815028,0.815028,2004
