Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,571947,0.571947,2013
as,Asia,ashkg,Hong Kong,hkg,13052.999999999998,0.013053,2013
as,Asia,asidn,Indonesia,idn,583686,0.583686,2013
as,Asia,asind,India,ind,595540.9999999999,0.595541,2013
as,Asia,asjpn,Japan,jpn,1692444,1.692444,2013
as,Asia,askor,South Korea,kor,29711302.000000004,29.711302,2013
as,Asia,asmys,Malaysia,mys,11668228.000000002,11.668228,2013
as,Asia,asprk,North Korea,prk,200822,0.200822,2013
as,Asia,assgp,Singapore,sgp,478355,0.478355,2013
as,Asia,astha,Thailand,tha,988623.9999999999,0.988624,2013
as,Asia,asvnm,Vietnam,vnm,71448.00000000001,0.071448,2013
as,Asia,asxxb,Taiwan,,1678015,1.678015,2013
na,North America,nausa,United States,usa,18677,0.018677,2013
