Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,1350082.9999999998,1.350083,2000
as,Asia,ashkg,Hong Kong,hkg,1617204,1.617204,2000
as,Asia,asind,India,ind,31500,0.0315,2000
as,Asia,asjpn,Japan,jpn,5287585,5.287585,2000
as,Asia,askor,South Korea,kor,3679433,3.679433,2000
as,Asia,asmys,Malaysia,mys,4633731,4.633731,2000
as,Asia,assgp,Singapore,sgp,72410,0.07241,2000
as,Asia,astha,Thailand,tha,471948.00000000006,0.471948,2000
as,Asia,asxxb,Taiwan,,234790,0.23479,2000
eu,Europe,euswe,Sweden,swe,25240,0.02524,2000
oc,Oceania,ocgum,Guam,gum,11600,0.0116,2000
