Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,12860826,12.860826,2005
as,Asia,ashkg,Hong Kong,hkg,148817,0.148817,2005
as,Asia,asidn,Indonesia,idn,393506,0.393506,2005
as,Asia,asind,India,ind,364764,0.364764,2005
as,Asia,asjpn,Japan,jpn,1553116,1.553116,2005
as,Asia,askor,South Korea,kor,19524303,19.524303,2005
as,Asia,asmys,Malaysia,mys,15211978.000000002,15.211978,2005
as,Asia,assgp,Singapore,sgp,650515,0.650515,2005
as,Asia,astha,Thailand,tha,1195937,1.195937,2005
as,Asia,asvnm,Vietnam,vnm,40850,0.04085,2005
as,Asia,asxxb,Taiwan,,987452,0.987452,2005
sa,South America,sabra,Brazil,bra,3000,0.003,2005
