Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,8125953,8.125953,2014
as,Asia,ashkg,Hong Kong,hkg,9027.999999999998,0.009028,2014
as,Asia,asidn,Indonesia,idn,229919,0.229919,2014
as,Asia,asind,India,ind,43008.99999999999,0.043009,2014
as,Asia,asjpn,Japan,jpn,2148732.9999999995,2.148733,2014
as,Asia,askor,South Korea,kor,31309403,31.309403,2014
as,Asia,asmys,Malaysia,mys,12944706,12.944706,2014
as,Asia,asprk,North Korea,prk,172507,0.172507,2014
as,Asia,assgp,Singapore,sgp,336631,0.336631,2014
as,Asia,astha,Thailand,tha,434564,0.434564,2014
as,Asia,asvnm,Vietnam,vnm,5088,0.005088,2014
as,Asia,asxxb,Taiwan,,426453.00000000006,0.426453,2014
eu,Europe,eudeu,Germany,deu,1855.9999999999998,0.001856,2014
eu,Europe,euesp,Spain,esp,12352,0.012352,2014
na,North America,nausa,United States,usa,4967,0.004967,2014
