Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,2643200.9999999995,2.643201,2003
as,Asia,ashkg,Hong Kong,hkg,227021,0.227021,2003
as,Asia,asind,India,ind,27764,0.027764,2003
as,Asia,asjpn,Japan,jpn,2468947,2.468947,2003
as,Asia,askor,South Korea,kor,6739547,6.739547,2003
as,Asia,asmys,Malaysia,mys,16714430,16.71443,2003
as,Asia,assgp,Singapore,sgp,92390,0.09239,2003
as,Asia,astha,Thailand,tha,314348,0.314348,2003
as,Asia,asxxb,Taiwan,,429472,0.429472,2003
eu,Europe,eumlt,Malta,mlt,117000,0.117,2003
na,North America,nausa,United States,usa,94640,0.09464,2003
