Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,15313907,15.313907,2010
as,Asia,ashkg,Hong Kong,hkg,67561,0.067561,2010
as,Asia,asidn,Indonesia,idn,2700557.0000000005,2.700557,2010
as,Asia,asind,India,ind,2838,0.002838,2010
as,Asia,asjpn,Japan,jpn,2421303,2.421303,2010
as,Asia,askor,South Korea,kor,25291033,25.291033,2010
as,Asia,asmys,Malaysia,mys,13712263,13.712263,2010
as,Asia,assgp,Singapore,sgp,789125,0.789125,2010
as,Asia,astha,Thailand,tha,1541655,1.541655,2010
as,Asia,asvnm,Vietnam,vnm,31000,0.031,2010
as,Asia,asxxb,Taiwan,,305483,0.305483,2010
eu,Europe,eugbr,United Kingdom,gbr,87194,0.087194,2010
eu,Europe,euita,Italy,ita,57200,0.0572,2010
