Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,73837,0.073837,1995
as,Asia,ashkg,Hong Kong,hkg,58695,0.058695,1995
as,Asia,asjpn,Japan,jpn,534639,0.534639,1995
as,Asia,askor,South Korea,kor,37755,0.037755,1995
as,Asia,asmys,Malaysia,mys,103830,0.10383,1995
as,Asia,astha,Thailand,tha,410806.99999999994,0.410807,1995
na,North America,nausa,United States,usa,10530.999999999998,0.010531,1995
oc,Oceania,ocaus,Australia,aus,1955,0.001955,1995
