Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,474888.00000000006,0.474888,1998
as,Asia,ashkg,Hong Kong,hkg,1437515,1.437515,1998
as,Asia,asind,India,ind,234351,0.234351,1998
as,Asia,asjpn,Japan,jpn,8470286,8.470286,1998
as,Asia,askor,South Korea,kor,2065235.0000000002,2.065235,1998
as,Asia,aslka,Sri Lanka,lka,26184,0.026184,1998
as,Asia,asmys,Malaysia,mys,891036.9999999999,0.891037,1998
as,Asia,aspak,Pakistan,pak,15300,0.0153,1998
as,Asia,assgp,Singapore,sgp,190291,0.190291,1998
as,Asia,astha,Thailand,tha,478554.00000000006,0.478554,1998
as,Asia,asxxb,Taiwan,,938403,0.938403,1998
eu,Europe,eudeu,Germany,deu,8000,0.008,1998
na,North America,nausa,United States,usa,51383.99999999999,0.051384,1998
