Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
af,Africa,afdza,Algeria,dza,113473,0.113473,2002
as,Asia,aschn,China,chn,2546341,2.546341,2002
as,Asia,ashkg,Hong Kong,hkg,229783,0.229783,2002
as,Asia,asidn,Indonesia,idn,100509,0.100509,2002
as,Asia,asind,India,ind,82768.99999999999,0.082769,2002
as,Asia,asjpn,Japan,jpn,4319740,4.31974,2002
as,Asia,askor,South Korea,kor,7468451.999999999,7.468452,2002
as,Asia,asmys,Malaysia,mys,9809740,9.80974,2002
as,Asia,assgp,Singapore,sgp,45138.00000000001,0.045138,2002
as,Asia,astha,Thailand,tha,1755155,1.755155,2002
as,Asia,asxxb,Taiwan,,207917,0.207917,2002
eu,Europe,euesp,Spain,esp,40000,0.04,2002
na,North America,nausa,United States,usa,24435,0.024435,2002
