Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,331665,0.331665,1999
as,Asia,ashkg,Hong Kong,hkg,877814,0.877814,1999
as,Asia,asind,India,ind,93470,0.09347,1999
as,Asia,asjpn,Japan,jpn,4246085.999999999,4.246086,1999
as,Asia,askor,South Korea,kor,2692394,2.692394,1999
as,Asia,asmys,Malaysia,mys,3413517.0000000005,3.413517,1999
as,Asia,assgp,Singapore,sgp,217437,0.217437,1999
as,Asia,astha,Thailand,tha,824291,0.824291,1999
as,Asia,asxxb,Taiwan,,312865,0.312865,1999
