Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,43236502,43.236502,2017
as,Asia,ashkg,Hong Kong,hkg,128862,0.128862,2017
as,Asia,asidn,Indonesia,idn,186979,0.186979,2017
as,Asia,asind,India,ind,2635462.9999999995,2.635463,2017
as,Asia,asjpn,Japan,jpn,2146127,2.146127,2017
as,Asia,askor,South Korea,kor,22242512.000000004,22.242512,2017
as,Asia,asmys,Malaysia,mys,10018232,10.018232,2017
as,Asia,aspak,Pakistan,pak,80268,0.080268,2017
as,Asia,assgp,Singapore,sgp,103529,0.103529,2017
as,Asia,astha,Thailand,tha,926165,0.926165,2017
as,Asia,asvnm,Vietnam,vnm,41536,0.041536,2017
as,Asia,asxxb,Taiwan,,1331177.0000000002,1.331177,2017
eu,Europe,eubel,Belgium,bel,24,0.000024,2017
