Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
af,Africa,afken,Kenya,ken,40114.00000000001,0.040114,2008
as,Asia,asare,United Arab Emirates,are,314921,0.314921,2008
as,Asia,asbgd,Bangladesh,bgd,7500,0.0075,2008
as,Asia,aschn,China,chn,31870848,31.870848,2008
as,Asia,ashkg,Hong Kong,hkg,86720,0.08672,2008
as,Asia,asidn,Indonesia,idn,1495941,1.495941,2008
as,Asia,asind,India,ind,318202,0.318202,2008
as,Asia,asjpn,Japan,jpn,5177411,5.177411,2008
as,Asia,askor,South Korea,kor,27655783,27.655783,2008
as,Asia,asmys,Malaysia,mys,16221878,16.221878,2008
as,Asia,assgp,Singapore,sgp,895547,0.895547,2008
as,Asia,astha,Thailand,tha,4159659.0000000005,4.159659,2008
as,Asia,astur,Turkey,tur,57004,0.057004,2008
as,Asia,asvnm,Vietnam,vnm,162227.99999999997,0.162228,2008
as,Asia,asxxb,Taiwan,,385741,0.385741,2008
eu,Europe,eugbr,United Kingdom,gbr,52793,0.052793,2008
