Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,12851403,12.851403,2015
as,Asia,ashkg,Hong Kong,hkg,151221,0.151221,2015
as,Asia,asidn,Indonesia,idn,123496.00000000001,0.123496,2015
as,Asia,asind,India,ind,318969,0.318969,2015
as,Asia,asjpn,Japan,jpn,2131889,2.131889,2015
as,Asia,askor,South Korea,kor,18724580,18.72458,2015
as,Asia,asmys,Malaysia,mys,6608005,6.608005,2015
as,Asia,aspak,Pakistan,pak,132840,0.13284,2015
as,Asia,asprk,North Korea,prk,27125.999999999996,0.027126,2015
as,Asia,assgp,Singapore,sgp,113937.99999999999,0.113938,2015
as,Asia,astha,Thailand,tha,320355,0.320355,2015
as,Asia,asxxb,Taiwan,,197812,0.197812,2015
eu,Europe,eunld,Netherlands,nld,4,0.000004,2015
na,North America,nausa,United States,usa,2531,0.002531,2015
