Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,asare,United Arab Emirates,are,190396,0.190396,2006
as,Asia,aschn,China,chn,73062875,73.062875,2006
as,Asia,ashkg,Hong Kong,hkg,59200,0.0592,2006
as,Asia,asidn,Indonesia,idn,132401,0.132401,2006
as,Asia,asind,India,ind,573731,0.573731,2006
as,Asia,asjpn,Japan,jpn,3795942.9999999995,3.795943,2006
as,Asia,askor,South Korea,kor,30788137.000000004,30.788137,2006
as,Asia,asmys,Malaysia,mys,19578023.999999996,19.578024,2006
as,Asia,assgp,Singapore,sgp,859651.9999999999,0.859652,2006
as,Asia,astha,Thailand,tha,2408953.9999999995,2.408954,2006
as,Asia,asvnm,Vietnam,vnm,33085,0.033085,2006
as,Asia,asxxb,Taiwan,,330868.00000000006,0.330868,2006
na,North America,nacan,Canada,can,5775,0.005775,2006
na,North America,nausa,United States,usa,36300,0.0363,2006
sa,South America,sabra,Brazil,bra,26543.000000000004,0.026543,2006
