Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Export Trade Value (in MMs of dollars),Year
as,Asia,aschn,China,chn,676862,0.676862,2012
as,Asia,ashkg,Hong Kong,hkg,26854,0.026854,2012
as,Asia,asidn,Indonesia,idn,985539,0.985539,2012
as,Asia,asind,India,ind,274967,0.274967,2012
as,Asia,asjpn,Japan,jpn,1130282,1.130282,2012
as,Asia,askor,South Korea,kor,25047741,25.047741,2012
as,Asia,asmys,Malaysia,mys,18778781.000000004,18.778781,2012
as,Asia,asprk,North Korea,prk,5068.000000000001,0.005068,2012
as,Asia,assgp,Singapore,sgp,294985,0.294985,2012
as,Asia,astha,Thailand,tha,379941.99999999994,0.379942,2012
as,Asia,asvnm,Vietnam,vnm,4400,0.0044,2012
as,Asia,asxxb,Taiwan,,944377,0.944377,2012
eu,Europe,eugbr,United Kingdom,gbr,30932,0.030932,2012
