"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",38739535
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",587522
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",8707171
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2195080
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",432380
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",388
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",1897313
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",29651.999999999996
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",190108.00000000003
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",15
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",203861
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",1957083
2,"Vegetable Products",210,"Cereals",21001,"Wheat",11148
2,"Vegetable Products",210,"Cereals",21003,"Barley",214467
2,"Vegetable Products",210,"Cereals",21004,"Oats",1600
2,"Vegetable Products",210,"Cereals",21005,"Corn",8070840
2,"Vegetable Products",210,"Cereals",21006,"Rice",1543251
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",28398
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2225172
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",389420
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",8810
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",255983
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",118947
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",8751168
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",5652
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",817388
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2836
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",8708
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",276338
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",320
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",4064
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",970231
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2115
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",11283852
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",9471
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",1179479
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",353245
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",96
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",773
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",1713336
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",273895116
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",4079422
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",6029838
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",45
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",17146
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31503,"Lard stearin and oils",1412
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish oil",2122103
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",2510
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",16062
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",750
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",12863
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",74.00000000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",43775934
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",5226
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2124775206
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",25470
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",1764689
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",27248056
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",4188375
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",9652930
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",112513437
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",23826057
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2342632
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31522,"Fat and Oil Residues",336205
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",7682249
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",21016637
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41603,"Animal Extracts",482662
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",415371788
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",213582197
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",10043245
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",4026059
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",65516
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",53914546
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",11682079
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41802,"Cocoa Shells",1057
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",3483
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2150811
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",186989
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",15703396
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",81594972
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",32480664
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",513025
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",23149248
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",159916061
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",940869
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",125559
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",42384
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",99962
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",10560273
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",7491606
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",20164934
