"","Countries","Scrap_Aluminum_Value"
"1","United Arab Emirates",0.05
"2","Bangladesh",0.06976
"3","China",38.758381
"4","Hong Kong",0.683303
"5","India",8.841461
"6","Japan",1.930483
"7","South Korea",47.095217
"8","Malaysia",3.360096
"9","Nepal",0.495394
"10","Pakistan",0.038
"11","Singapore",0.064383
"12","Thailand",3.508602
"13","Vietnam",0.722461
"14","Taiwan",5.639543
"15","Belgium",0.020063
"16","Spain",0.014122
